source,target,repository,weight,forks,issues,size,languages
yyx990803,sophiebits,"babel",2,2,0,32257,"JavaScript"
yyx990803,happypeter,"babel",2,2,0,32257,"JavaScript"
yyx990803,mjackson,"babel",2,2,0,32257,"JavaScript"
yyx990803,vhf,"babel",2,2,0,32257,"JavaScript"
yyx990803,kangax,"babel",2,2,0,32257,"JavaScript"
yyx990803,hax,"babel",2,2,0,32257,"JavaScript"
yyx990803,zpao,"babel,create-react-app",3,3,0,36828,"JavaScript"
yyx990803,vjeux,"babel",2,2,0,32257,"JavaScript"
yyx990803,STRML,"babel,babel-loader",4,3,0,32739,"JavaScript"
yyx990803,jlongster,"babel",2,2,0,32257,"JavaScript"
yyx990803,alvarotrigo,"babel",2,2,0,32257,"JavaScript"
yyx990803,Rich-Harris,"babel,brooklynjs.github.io,buble",30,8,3,35656,"JavaScript"
yyx990803,paulcbetts,"babel",2,2,0,32257,"JavaScript"
yyx990803,cpojer,"babel,create-react-app",3,3,0,36828,"JavaScript"
yyx990803,xcatliu,"babel",2,2,0,32257,"JavaScript"
yyx990803,zce,"babel",2,2,0,32257,"JavaScript"
yyx990803,Justineo,"babel",2,2,0,32257,"JavaScript"
yyx990803,jhusain,"babel",2,2,0,32257,"JavaScript"
yyx990803,benjamn,"babel,brooklynjs.github.io",3,2,0,34844,"JavaScript"
yyx990803,yisibl,"babel",2,2,0,32257,"JavaScript"
yyx990803,lelandrichardson,"babel",2,2,0,32257,"JavaScript"
yyx990803,krasimir,"babel",2,2,0,32257,"JavaScript"
yyx990803,JeffreyZhao,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,Yangqing,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,davecheney,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,wenshao,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,eliben,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,stof,"benchmark",1,0,0,3708,"JavaScript"
yyx990803,chriscoyier,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,BrendanEich,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
yyx990803,harthur,"brooklynjs.github.io",1,0,0,2587,"JavaScript"
