user,repository,stars,forks,issues,size,language
addyosmani,backpack,11,2,0,480,JavaScript
addyosmani,ballista,1,0,0,249,JavaScript
gaearon,6to5,1,1,0,2384,JavaScript
gaearon,6to5-loader,0,1,0,110,JavaScript
gaearon,additive-animation,1,1,0,121,JavaScript
paulirish,2012.beercamp.com,1,0,0,3302,JavaScript
paulirish,365,1,0,0,776,JavaScript
paulirish,39ridiculousboxshadows,51,10,3,340,JavaScript
paulirish,adb-screenrecord-script,1,0,0,78,JavaScript
paulirish,adb_trace,75,15,0,306,Python
paulirish,afloat,3,0,0,1268,Objective-C
paulirish,airhorn,0,0,0,2322,JavaScript
paulirish,amv,0,0,0,104,Ruby
paulirish,automated-chrome-profiling,755,49,3,570,JavaScript
paulirish,auto_npm,6,0,0,78,JavaScript
paulirish,axe-core,1,0,0,3603,JavaScript
paulirish,babel.github.io,0,0,0,15695,CSS
paulirish,backbone.marionette,14,3,0,1155,JavaScript
paulirish,backbonetutorials,21,4,0,416,JavaScript
paulirish,bar-horizontal,2,0,0,11,JavaScript
paulirish,bats-docs,0,0,0,7,null
paulirish,bootstrap,0,2,0,93155,CSS
paulirish,bootstrap-modal-element,1,0,0,152,null
paulirish,bot-t-factoids,3,1,0,156,null
paulirish,bower,3,1,0,3548,JavaScript
paulirish,break-on-access,818,69,5,118,JavaScript
paulirish,brfs,1,0,0,75,JavaScript
paulirish,browser-compat-data,0,0,0,1808,JavaScript
paulirish,browser-perf-runner,1,0,0,122,JavaScript
paulirish,browser-repl,0,0,0,39,JavaScript
paulirish,bundle-buddy,0,0,0,2655,TypeScript
paulirish,c-cli,18,2,0,3,JavaScript
paulirish,caine,2,1,0,93,JavaScript
paulirish,call-trace,0,0,0,18,JavaScript
paulirish,caltrainschedule.io,34,8,14,3823,HTML
sindresorhus,-,55,0,19,0,null
sindresorhus,acosh,5,0,0,4,JavaScript
sindresorhus,active-win,129,18,4,1122,JavaScript
sindresorhus,active-win-cli,17,1,0,6,JavaScript
sindresorhus,add-asset-webpack-plugin,50,1,0,6,JavaScript
sindresorhus,add-module-exports-webpack-plugin,27,3,0,5,JavaScript
sindresorhus,aggregate-error,94,7,2,4,JavaScript
sindresorhus,alfred-dark-mode,71,1,0,1230,null
sindresorhus,alfred-emoj,184,8,0,256,JavaScript
sindresorhus,alfred-lock,43,1,0,40,null
sindresorhus,alfred-npms,215,12,2,193,JavaScript
sindresorhus,alfred-simple,112,3,2,1500,null
sindresorhus,alfred-xcode,31,1,2,222,null
sindresorhus,alfy,927,50,10,551,JavaScript
sindresorhus,aliases,23,1,0,4,JavaScript
sindresorhus,all-property-names,43,2,1,2,JavaScript
sindresorhus,alpha-sort,20,2,0,9,JavaScript
kennethreitz,alphaglyph,8,2,0,130,Python
kennethreitz,args,207,20,6,22,Python
kennethreitz,autoenv,4014,183,22,103,Shell
kennethreitz,awesome-cdn,36,6,0,23,HTML
kennethreitz,awesome-coins,2783,172,7,127,null
kennethreitz,background,446,19,4,14,Python
kennethreitz,blackbox,186,14,2,190,Python
