Id,Label,timeset,componentnumber,modularity_class,Authority,Hub,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
AllenDowney,AllenDowney,,0,19,0.002447,0.002447,0.333333,7,6,0.303407,0.32306,99.548223,0.019753
judasn,judasn,,0,19,0.001969,0.001969,0.6,6,6,0.292808,0.310429,63.209546,0.014915
richhickey,richhickey,,0,26,0.002784,0.002784,0.466667,7,5,0.304487,0.322183,77.16339,0.020609
jennybc,jennybc,,0,42,0.006046,0.006046,0.190476,4,6,0.323251,0.345419,212.786709,0.041074
ramnathv,ramnathv,,0,42,0.001624,0.001624,0.178571,5,6,0.314338,0.334542,221.53314,0.018267
justmarkham,justmarkham,,0,42,0.006296,0.006296,0.177489,41,6,0.340773,0.371209,2706.564161,0.054531
graydon,graydon,,0,42,0.000272,0.000272,0,0,6,0.272553,0.28655,30.666276,0.004281
isaacs,isaacs,,0,7,0.012079,0.012079,0.136842,26,5,0.36,0.389669,1980.467708,0.087514
robbyrussell,robbyrussell,,0,36,0.0057,0.0057,0.545455,30,6,0.320946,0.344698,129.762182,0.047967
jimweirich,jimweirich,,0,32,0.00392,0.00392,1,15,6,0.306342,0.326491,0,0.029777
ry,ry,,0,42,0.000416,0.000416,0.488889,22,6,0.275451,0.293509,1043.674911,0.009635
opengiineer,opengiineer,,0,23,0.002435,0.002435,0.066667,1,6,0.313187,0.331248,1186.302238,0.019886
fchollet,fchollet,,0,42,0.000353,0.000353,1,21,6,0.268783,0.285361,0,0.008128
geohot,geohot,,0,45,0.000882,0.000882,0.488889,22,6,0.296669,0.31731,1118.288886,0.014102
aymericdamien,aymericdamien,,0,14,0.005613,0.005613,0.246667,74,6,0.340909,0.3723,4063.896685,0.056176
qiangxue,qiangxue,,0,30,0.000574,0.000574,0.466667,21,6,0.277868,0.296511,554.201077,0.010403
ageron,ageron,,0,42,0.003005,0.003005,0.409091,27,6,0.309446,0.332378,920.596184,0.027089
chiphuyen,chiphuyen,,0,42,0.000533,0.000533,0.821429,23,6,0.277778,0.295088,30.93419,0.010018
Stitchpunk,Stitchpunk,,0,42,0.002919,0.002919,0.289474,55,6,0.325219,0.352495,2703.221879,0.034877
SteveSanderson,SteveSanderson,,0,42,0.000011,0.000011,0,0,7,0.216018,0.223885,0,0.000737
taylorotwell,taylorotwell,,0,9,0.001017,0.001017,0.333333,2,6,0.275985,0.291306,26.761296,0.008512
barryvdh,barryvdh,,0,0,0.006622,0.006622,0.28655,49,6,0.336217,0.364717,1013.424643,0.055046
freekmurze,freekmurze,,0,0,0.00243,0.00243,0.333333,22,6,0.318792,0.342534,443.354718,0.027195
mholt,mholt,,0,9,0.003478,0.003478,0.2,2,6,0.314454,0.332651,174.616754,0.025948
chrisbanes,chrisbanes,,0,19,0.003076,0.003076,0.367647,50,6,0.3018,0.328168,319.981159,0.045575
sephiroth74,sephiroth74,,0,19,0.006375,0.006375,0.318841,88,6,0.328846,0.360019,693.900111,0.074029
ikew0ng,ikew0ng,,0,14,0.006006,0.006006,0.405263,77,6,0.334769,0.364464,539.931418,0.068058
sockeqwe,sockeqwe,,0,19,0.002736,0.002736,0.450549,41,6,0.296155,0.320858,112.553092,0.03889
castorflex,castorflex,,0,19,0.001638,0.001638,1,28,6,0.28481,0.30501,0,0.025141
SimonVT,SimonVT,,0,20,0.002717,0.002717,0.4,4,6,0.29958,0.319045,43.341232,0.022001
mikepenz,mikepenz,,0,2,0.003739,0.003739,0.30303,20,5,0.310232,0.334405,189.631108,0.038472
yigit,yigit,,0,1,0.004813,0.004813,0.448718,35,6,0.324971,0.350916,199.304874,0.048659
substack,substack,,0,7,0.000931,0.000931,0.1,1,6,0.285762,0.302437,99.952747,0.008646
mafintosh,mafintosh,,0,18,0.001299,0.001299,0.138889,5,6,0.294219,0.31384,551.938102,0.012519
noopkat,noopkat,,0,7,0.004967,0.004967,0,0,6,0.301587,0.320019,85.566221,0.029163
cloudwu,cloudwu,,0,36,0.003524,0.003524,0.088889,4,5,0.321791,0.34345,1478.718243,0.027683
gongminmin,gongminmin,,0,22,0.000977,0.000977,0.178571,5,6,0.304487,0.324172,402.779496,0.012227
zilongshanren,zilongshanren,,0,36,0.00266,0.00266,0.177778,8,6,0.327085,0.348538,578.426797,0.030554
MartinRGB,MartinRGB,,0,19,0.003451,0.003451,0.333333,35,6,0.326835,0.351871,747.068342,0.041813
tholman,tholman,,0,36,0.000089,0.000089,0,0,6,0.24352,0.252339,0,0.001139
migueldeicaza,migueldeicaza,,0,22,0.002025,0.002025,0.181818,12,5,0.321791,0.343996,2340.454001,0.023946
Terry-Mao,Terry-Mao,,0,36,0.0006,0.0006,0,0,6,0.285667,0.302495,391.079945,0.007363
progrium,progrium,,0,6,0.008641,0.008641,0.43956,40,6,0.346575,0.372865,790.827716,0.068834
jgthms,jgthms,,0,36,0.009295,0.009295,0.477124,73,5,0.348837,0.378558,449.137797,0.078699
sferik,sferik,,0,36,0.014566,0.014566,0.216092,94,5,0.363212,0.397641,5286.642388,0.127522
